content,score,sentimen
Saya Zee DX tx tree d e d gy rAyr see x TT TT e sebagai d,3,0
Parah lah pengirimanya.....masa pesan 2barang di 1 toko padahal beda hitungan menit doang kirimanya malahan beda 1 hari,1,0
"Aplikasinya payah, sudah ada tulisan batal otomatis tapi tetap saja tdk terlaksana.",1,0
Good,3,0
kasih bintang 2 dulu.. Knp saya sudah slesai mengikuti pelatihan di skill akademy dan sdh mendapatkan sertifikat tgl 23 agustus 2020 tpi blm muncul di dashboard prakerja. saya beli kelas pelatihannya melalui Tokopedia lho.,2,0
Aplikasinya sih oke...yg ga oke itu seller nya pemesanan dr tgl 15 br dikirimkan 3hr kemudian...sdh dibatalin masih diproses sellernya...,2,0
"ada bug di bagian keranjang. Untuk admin : saat pencarian produk, barang dengan toko yang tidak aktif lebih dari 30 hari masih muncul. Tolong kalau toko yang tidak aktif setidaknya lebih dari 2 minggu jangan ditampilkan dong... Menghabiskan kuota dan sangat tidak penting melihat barang yang tokonya tidak aktif",2,0
"Gimana caranya isi saldo/cara isi ovo soalnya punya saya masih kosong,makasih",3,0
Coba dulu downloadnya lama,3,0
Sangatt burukk playananan.y,1,0
knpa kredivo ga bisa di klik bgian ftonya..padahal dah app terbaruknpa ya saya mengajukan kredivo dah 2 kali di tolak melulu..padahal semua dah saya isi sesuai persyaratan.alasannya foto KTP sama foto saya kurang jlas..trus harus foto yg gmna lgi...???bingung,3,0
"Saya mau cek progress pesanan saya sudah sampai mana. Saya juga mau chat si admin yang jual barang tersebut. Tapi kenapa tulisannya selalu ""maaf terjadi kesalahan silahkan coba lagi beberapa saat""? Ini udh seminggu kyk gini, udh ganti paket data, wifi, jg gabisa. Solusinya gmn ya?",2,0
Udah 99% eh ga bisa ke download diulang sampe 5 kali. Hp gw ga bermasalah ha,1,0
app saya suka bagus juga pelayanan nyaman cuman ada kesalahan yg paling besar yg bikin saya uninstall nih app yaitu iklan yg memaksa sama Kya brand sebelah L*z*a Makanya saya uninstall app sekelas tokped iklan nya berasa Kya spam situs GK layak,1,0
Dalam 1 minggu minta 2x upgrade aplikasi knp neh mulai ga byk peminatnya ya,1,0
toko pancing pedia,2,0
Iya tah ??,3,0
Aplikasinya bagus sayangnya sering force to close,3,0
Di suruh log out dan log in berkali-kali,3,0
Monyet,1,0
"Sangat kecewa online shopp yg tidak memuaskan,baru pertama belanja aja sudah salah kirim barang, , pokoknya kecewa banget.",1,0
Bru cri tay carax,2,0
"Saya melakukan pembelian top up saldo ovo dengan jlh yg besar sebanyak 2 kali, dan pembayaran dilakukan menggunakan via alfamidi. Ke-2 transaksi oleh pihak alfamidinya berhasil dan ada struknya, transaksi yg pertama masuk ke dlm nomor akun ovo yg saya isi tapi transaksi yg keduanya gagal dlm aplikasi tokopedianya. Saya sudah buat laporan diaplikasi tokopedianya juga, dan laporannya dana saya sudah dikembalikan. Tapi sampai skrg saya blm menerima dana apapun.",1,0
Mau komplain susah bingit... error cobalagi 50x....maksudnya bagaimana tkp.me/report,1,0
:(😊😩😩😩😩🤭🤭👍👎👎,3,0
"Sangat kecewa, sekarang tokped banyak aturan.. saya buat akun baru lagi trs order barang di toko lain sdh di trf langsung di batalkan, eh tiba2 ada notifikasi dugaan penipuan 🤦 ga ngerti lagi apa mksdnya 👎 jangan membuat kecewa nanti malah pada lari ke si orens 🙏",1,0
Sy nggak suka dengan Tokopedia Lite - tolong cara hapusnya gimana krn tidak ada di list play store dan di pengaturan aplikasi ... Maaf akun sy dihack... Jangan beli yah,1,0
Astaga sekelas Tokopedia tidak bisa mengurus masalah gagal kasih ulasan dan rating di menu transaksi ? Pecat aja itu tim IT nya yang masih magang kah? Banyak yang kelaparan tuh gara2 bantuan insentif gak cair cair karena kalian yang menahan proses pencairan insentif kami hanya karena masalah gagal rating dan ulasan.. Aplikasi KW KW,1,0
"Fitur kurang, riwayat transaksi saya hilang tolong di bantu dimunculkan kembali.karna tidak ada cara untuk memunculkannya",3,0
"Ini gimana gak bisa beli flash sale, orang sudah update terbaru kok",1,0
Bagus banget aplk nya,1,0
Hadiah apa saya ga permah belanja ke tokopedia...orang melarat saya mah...tolong jangan ganggu lagi chating...terimaksih,1,0
Bacod,1,0
Loh di apk jadi duit suruh download toko pedia kok gua gak dapat koin ajg lah,1,0
"Terimakasih,,semangat trs utk memperbaiki diri.,👍👍👍",2,0
Sertifikat belum keluar juga mohon di percepat,1,0
"Gimana ni dari tanggal 29 sartifikat belom muncul2 di dashboard,sedang kan gelombang 5 udah keluar tanggal insentif bulanan nya.nyesel pokoknya ngambil di sni",1,0
Pelayanannya jelek.. Kcewa aku,1,0
Mohon adakan lagi kak admin cara cod di adakan lagi di menu saya buat cod tidak bisa di liat server anda,2,0
"Kok saya gak bisa buka notifikasi, pesan, dan melacak barang ya? Tolong diperbaiki segera karna ada barang pesanan saya yang belum datang sampe sekarang.",1,0
Aplikasi yang ga mau bantu konsumen nya. Mau minta bantuan balikin akun gue malah ga di bantuin.,1,0
"Sekarang mau cari yg untuk diskusi aja susah.. yg awalnya ditaroh di dkt gambar barang yg dijual, sekarang malah ditaroh di baaaawaaah jauh",3,0
Bangsat klo kasi iklan di Google tau diri dong jgn yg spam sampe link buat download film ke ganti ama iklan lo bangsat,1,0
"Updet udah 3x masih minta updet juga,,,, Mau berpa kali updet?",3,0
Good appl,1,0
"Kalo kalian berani bergabung dgn tender besar sprti PRAKERJA seharusnya kalian sudah siap dengan sumber daya pekerja dan sistem anda, jgn hanya memikirkan proyek miliaran tapi sistem kalian berantakan.. kalian memaksa kami untuk kasih rating dan ulasan tapi pelayanan ANCCUUURR,, contoh tuh BUKALAPAK.. tanpa mengemis rating & ulasan tapi pelayanan memuaskan.",1,0
Parah banget tokopedia saya beli kelas sekolah desain adobe ilustrator dari bulan agustus tgl 20 dan. Dapet sertifikat sekitar tgl 25 kurang lebih sampe sekarang pun gak muncul muncul di dashbor prakerja kalian kerja gak sih? Mau kasih ulasan di aplikasi setelah pembelian slalu gagal kasih ulasan di kelas nya pun udah tapi ttep aja gak ada saya nyesel beli kelas di tokopedia sumpah,1,0
Tulisan nya bebas ongkir minimal belanja sekian. Di lanjutin malah milih harga ongkir nya,1,0
Sudah susah ganti alamat.. Sekarang mau bayar harus gunakan ovo.. Tambah ke sini tambah sulit aja pakai aplikasi tokopedia..😪😪😪,3,0
Ok,3,0
"Wkwkwk ngakak bet gua gua salah beli hp niat mau tuker tambah masa hp gua yg baru pake 3 hari dihargain 2,3 wkwkwk sedangkan gua beli baru 4,9 ampun dah bang jago!!!",2,0
Apakah di toko pedia bisa cod,1,0
"We e wwxs, ssw,,,, ,,,,,,, x,,, w, xw,, we w2w ww, w xxxxx, we, c",2,0
Ini sertifikad prakerja saya kok bluk tampil d dasborard prakerja sejak tanggal 23 agustus knp ? Tolong dicek gan,1,0
Mengecewakan,1,0
Makin lemot nee tokopedia,3,0
Oke,3,0
Tokopedia kenapa data ku bocor di kamu !!!!,2,0
ngiklan mulu malah bikin kesel,1,0
Jjik aku negok nya katanya cumn seribu pas di pesan barang 60 ribu ppk,1,0
Pelayanan lelet.. Ongkir mahal,1,0
Bonus alamat palsu..,2,0
Mau download lg malah yg muncul tokopedia terus sumpah emosi gua anjing,1,0
"Kacaaaaau kacaaau , dari tnggal 21 gua udh dapet sertifikat Prakerja tapi ga di keluar keluarin sama tokpet , bobrok bangat dah",1,0
Cukup bagus dan produknya okay juga,3,0
"sy kurangi bintang nya karna ada pesanan saya dari tgl 15 maret sampai sekarang belum nyampai,setatus pesanan sudah tiba tpi sy blm trima barang nya udh sy komplain masih aja blm ada kejelasan,kl pesanan sy sudah beres baru sy fulin lagi bintang nya trimakasih",2,0
Llkm. L,3,0
Kok saya beli paketan blom terkirim udh 2hari Belum ada respon nya nih,2,0
Jelek,1,0
"Tokopedia sangat buruk kualitasny,toko sy berapa kali mendptkn pembatalan sistem otomatis di transaksi sy,tanpa memberikan keterangan apapun kpd toko sy,sy sangat kecewa dg pihak Tokopedia.",1,0
Mintak tolong dong di perbaiki lagi. Masak beli diamond Free Fire aja ada ongkirnya. Iya kalo barang masih wajar lah ada ongkir. Kan top up diamond bukan barang. Kalo udah di perbaiki saya kasih bintang 5.,1,0
Ini tokopedia tulul ah! Tarik saldo lelet! Asw bangsat.... Lagi butuh juga anjing,1,0
Kk aktifkan akun atas nama Susan susan,3,0
Belanja .. setelah chekout menunggu 2 jam untuk di priksa ..,1,0
AKU PINDAH SHOPEE AJA,1,0
ada orang kena tipu via tokopedia.. pihak tokopedia tidak merespon.. itu duit .. aplikasi gak guna,1,0
Jelek,1,0
Jasa pengiriman ongkir gratis nya tidak bisa di pilih sendiri jadi males untuk belanja karna jasa pengiriman yang sudah di tentukan selalu lama nyampe nya,2,0
free ongkir msh tersisa 2x tp tdk bs digunakan,2,0
Coba dulu kalau bgus pelayanan lanjut,3,0
"Tolong update lagi,,dan tolong aktifkan notifikasi suara ketika ada chat masuk dan orderan masuk di tokopedia seller,,,,lama"" kacau tokopedia,,mending pindah ke toko lain",1,0
"Belanja tgl 8,pilih pengiriman tertera estimasi waktu tgl 9-10 sampai. Lha di batal otomatis sampe 3 hari. Kalo di hitung batal otomatis, ya sampe tgl 11, ini gimana, ngga singkron antara pengiriman sama batal dr tokopedia?kalo begitu ya seperti sy belanja, dr tgl 8 sampe mau 10 brg cuma di proses ngga di kirim kirim. Mau cancel di tolak, ngga cancel, ntr sampe waktu batal mau habis baru di kirim. Klo begitu ya nambah waktu lg di pengiriman, jakarta bekasi aja bisa seminggu. Payah. Kapok.",1,0
Kelamaan,1,0
"bangggkeeee jadi puyeng , gmna caranya konfirmasi pesanan telah tiba",1,0
saya kasih bintang 3 dulu ya.kalo barang'a udah sape tar saya kasih,3,0
"Fix, hanya 1 % penjual yang benar-benar jujur , atau mungkin 0% . Konsumen bego ya rugi sendiri . #allOnlineShop",1,0
Saya mengajukan helm yg 79 rb nya kirim saya butuh.ke .aa 4 no 20 bumi harapan cibiru hilir cileunyi bdg ..,1,0
"lama lama gw unistal juga nih, suruh update aplikasi mulu notifnya.. gw cek malah ga ada update. notif nya sampah begini.",1,0
Ksh 3 dulu soalnya baru pertama kali pake tokopedia jd belum tau kualitasnya,3,0
"Gajelas apknya, dikasih voucer 77rb, bisa dipake dan aman2 aja sebelum bayar, tapi pas udah bayar, tba2 dbilang gak sesuai syaratnya. Padahal pas sebelum click voucer, syaratnya cuma untuk pengguna baru. Asli, mending pake apk sebelah aja dehh",1,0
"ngomongnya cintai produk sendiri, tp artis ny produk luar gmn sieh, dih percuma pake pake bts segala klo emg apk nya burik, tingkatin dulu noh apk ny, baru bisa bangga di iklanin ama bts, NAJIS GW LIATNYA",1,0
Seetelah di update knp ga bisa di buka ya gan.?? Mohon bantuannya. Trimksh.,2,0
Bobi bobibobi,1,0
"Update aja terus tapi gak ada peruban, tapi malah di persulit. Setiap buka ni aplikasi loading terus, mau liat barang loading terus apalagi mau nambah barang di toko loadingnya lama banget sampe sampe barang yang di tambahkan gak ada di toko padahal dah di tambahin 3x coba ttp aja gak muncul barang baru padahal jaringan sangat baik dan stabil.",1,0
pengalaman pertama saya pesan di tokopedia langsung kapok kurir nya galak ga bisa di kompail lagi kurir nya di tokopedia paraaaaahhhh🥴,2,0
"Saldo penghasilan gw gak bisa ditransfer ke ovo kan bangke, duit2 gw malah di bikin ribet, mending shopee narik saldo dimana2 bisa.",1,0
Tes dlu,3,0
Kacau eror terus....,1,0
Mudah belanja dan membantu untuk waktu kita sat sibuk tetep bisa membeli apa yg kita butuhkan di tokopdia kumplit kebutuhan kita,3,0
"bagaimana cara mengaktifkan akun saya yg lama, sedangkan no saya sudah aktif?",1,0
Kenapa selalu putus koneksi padahal sudah ada internet yang stabil,2,0
"Aplikasi ini memang bagus sih,tapi saya kurang suka aplikasi ini karena tidak ada penjualan non fisik,jadi tolong untuk pihak tokopedia,tambahkan fitur jualan non fisik",3,0
Bagus & lengkap informasinyaxfZd*__*_,3,0
Kata pihak skill academi sudah diserahkan sertifikatnya ke pihak tokped Eh malah ngga keluar keluar di dashboard Selesai13 november sampe sekarang blm muncul Bisa bantu ngga please,3,0
"Admin, kenapa akun tokopedia saya gak bisa login ke semula lagi.. daftar baru udah gak bisa aktifasi OVO, aplikasi yang lucu...",1,0
Data Saya Terdeteksi Bocor Pada Aplikasi Tokopedia... Kalo Gini Jadi Males Belanja,1,0
Di dowloand lemot,1,0
ua,1,0
Kalo bener 400ribu bisa di ambil tunai apa terasper kita kasi bitang lagi,1,0
"Tokopedia gimana sih,cashback saya 30.000 gak masuk,katanya ada kesamaan akun,akun yg mana woy,aku tuh cuma punya 1 akun",2,0
"Saya kecewa pada pembayaran nya kok gak ada metode pembayaran dana tolong kepada pihak tokopedia utuk menambahkan metode pembayaran dana nya, makasih🙏🙏🙏🙏",1,0
dusta wkwkwk,2,0
Mantap apl ya,3,0
"Verifikasi wajah gagal terus. Ada gamgguan dirumah toped, kalau berhaasil gw naikin bintangya",2,0
Suka,3,0
Hapuskan saja kurir anterin itu woy terlalu lama kirimannya Tidak gerak sama sekali udah 2hari Itu kurir kirim barang apa tukang molor sih kok lama banget,1,0
Tes dulu,3,0
Ka knpa aplikasi terus berhenti aja ya,3,0
Admin toped mhn tlg di cek utk pembelian sy tgl 15agustus dgn no resi AF d AE 085803--- kok baru satu yg nyampai.yg satunya kmn yaa..,2,0
Coba bintang 3 dulu..klo bagus sya tambahin..ok,3,0
"Jelek, penggunaan kupon tidak jelas dan penabungan emas tidak bisa di batalkan dan mengakibatkan pengurangan saldo tolong tambahkan fitur pembatalan saldo emas!",1,0
Di coba dulu,3,0
Kenapa lama sekali turun nya sertifikat ke dashboard kita butuh ini min....,1,0
pelayanan bagus,3,0
Saya tertarik dengn mesin tambal ban tungku strom,3,0
good,3,0
Belum pengalam,2,0
Lelet,1,0
los cuma slss,1,0
pusat bantuannya kyknya ga sekolah attitude..ga bisa menyelesaikan keluhan pelanggan dgn beretika pelanggan adalah raja,1,0
Ok,3,0
Data kita semua bocor woyy,1,0
"Update mulu kalo gak di update gak bisa di pake , gak kayak si oren update gak update tetep bisa di pake, lain kali di pertimbangkan dulu kalo update",2,0
"malesin nih aplikasi gk kaya toko sebelah, saya mau belanja pake akun sendiri dengan alamat mungkin keluarga saya sama suka belanja juga, tapi gk bisa pake vocer gratis ongkir belanja pertama.. di sangkanya penyalah gunaan vocer haha, padahal mungkin sekeluarga pada suka belanja bukan penyalah gunaan!!! auto hapus nih aplikasi males pakenya haha",1,0
"G ada info utk pesanan barang, awalnya dulu bisa dicek sekarang g bisa dicek lg...",2,0
saya ngasih bintang 1 dulu. sertifikat saya dari tgl 21 agustus belum jg masuk didashboard. alasannya blum ngasih rating. padahal udah. sangih rating ulang ngak bisa. di imel di tweet ngak da hasil. ampun. buat kalian yang ingin ambil ditokped fikirlah dlu. skill academy pas belum masuk di tokped. lancar,1,0
Kadang2 barang yg dibeli tdk ok,3,0
Barang Sering Tidak nyampe,1,0
Asyik,1,0
"Hp saya Versi android 4.4.2 Versi kernel 3.4.0, buka aplikasi tokopedia oops internet trputus mulu susah masuk, harus uinstal dulu baru bisa lama kemudian oops internet trputus lg, gimana saya mau blanja dong, kalu harus uinstal mulu boros kuota repot lg",2,0
Aku mau nanya bagaimana cara menstranfer uang kalo gk ada rekening bingung tau,1,0
benci guwe 😝 dan saya kecewa sekali 😡😠😬 saya beli barang ditokopedia barang ya nga sesuai penipu huuu,1,0
Baik,1,0
Aku 1dulu,1,0
Iklan,1,0
AYOO SERBU BELANJA DI BUKALAPAK SEKARANG !! LAGI ADA PROMO GRATIS ONGKIR LOH !!,1,0
Saya cuman mau ngasih bintang 1 doang knpa gak trima,1,0
Aplikasi sampah banyak aturan hari sabtu minggu libur toko online kok ada liburnya PENGANAN LAMBAT,1,0
Tolol,1,0
Nih apk gak jelas gak niat masa yaa aku jual hp bekas harga 700 trs kalo mau foto loading mulu emang yang buat gak niat,1,0
Apaan ongkir ny mahhalll,1,0
Good,3,0
"Saya udh download 3 kali tpi gk ke instal²,sangat kecewa",1,0
Sudah 2 kali saya beli dan sudah melakukan pembayaran dibatalkan karena masalah promo.Padahal Promo tersebut Masih tersisa 14 hari dan Saya hanya menggunakan 1 promo saja.Ketika Sudah pembatalan transaksi 2 kupon saya yaitu Kupon Gratis Ongkir 30 ribu dan Kupon Cashback 30 ribu tiba-tiba hilang.Padahal baru tadi pagi saya lihat sisa 14 hari.Saya sudah mengajukan masalah tersebut ke Tokopedia Care tetapi tidak dibalas dan tidak diperbaiki.Saya mengikuti sesuai prosedur dan tidak melanggar.Tolong!,1,0
Baaaaangus,1,0
Saya membeli pelatihan di Tokopedia tetapi kenapa Sertifikat saya belum muncul di dasboard prakerja padahal saya sdh lulus 2 minggu lebih... Untuk Studilmu Materi pembelajaranya mudah di pahami dan video materi nya pun sangat mudah di mengerti..,3,0
Tolong dong di bantu saya dari glombang 6 dah nunggu 7 hari kerja kenapa sertifikat blm jg ada di dashboard saya,2,0
good,3,0
"Belanja tokped ribettttt, udh gitu di cancel, uang refund pu jauh dr bayaran awal, wajar deh skg bkn no.1 lg",1,0
e se x ded s res rt s eh e,2,0
sangat tidak aman,1,0
Jkl,1,0
Tokopedia itu suka eror mau belanja jadi gak nyaman,1,0
bgus,3,0
Bagaimana cara login kembali karena terhapus aplikasi Tokopedia jadi download ulang lagi.,2,0
hayoo ngaku siapa yg instal cuma pengen dapet sepatu compass,3,0
Woyy call tokopedia yg mana nih ga ada bisa di hubungi !!!,1,0
"Uang sudah masuk di tokopedia tapi pesana saya pembayaran Buana Finance dan Saldo Emoney belum dikasih, gimana ni tokped ?",1,0
Cacat,1,0
"Aplikasi tidak bermutu,,kualitas beda jauh dengan mang shoopee,,pesan barang sdh d.tf ,tiba"" dbatalkn pihak produsen😂",1,0
Kenapa toped pilih saat beri bebas ongkir.. saya pelanggan lama tidak dapat.,1,0
"toped coba di review expediasi/kurir AnterAja, sudah 2x otomatis pakai exp ini, dan 2x juga tidak ada update posisi, bahkan lewat dari batas max harusnya paket sudah diterima.",3,0
Banyak Bohongnya,3,0
Parah saya mesen dari 12 maret 2020 sampe sekarang pesenan belum dateng juga gimanasi kecewa bgtt!,1,0
Oi kenapa nga bisa ganti no hp... Minta update padahal sudah di update...gmn ne pelayanannya buruk,1,0
Mau nanya Tokopedia selalu gratis ongkir kah?. Ini kenapa setiap paket datang tak free ongkir?.,3,0
Tidak bisa menghargai penjual👎👎🖕🖕,1,0
Tidk pantas buat iklan,1,0
Sekarang mah jadi lemot sudah tf masa nunggu komprim??,1,0
Aplikasi payah gangguan server terus 👎,1,0
"Tolong y buat pihak tokopedia jika buat iklan jangan berkali-kali, bosan melihat nya cukup sesekali aja muncul toh orang juga g bodoh kok klau emang mau belanja pasti belanja",1,0
Sangat mengecewakan. Tolong di perbaiki sistemnya min. Semua pd ngeluh yg ambil pelatihan di tokped,2,0
"Mau top up ovo aja susah banget, gak dapet kode pembayarannya. Dicoba berkali kali tetep aja gak dapet!",1,0
Up,3,0
Nama ekspedisi kenapa di ilangin nyusahin orang aja !!! ini masalah user experience tolong di perbaiki,1,0
Ikalanya di mana mana kayak babi,1,0
rdeee e dee rrtggg,1,0
Lumayan,2,0
1 aja,1,0
Applikasi cacad sering nge bug,1,0
aplikasi hoax dspat hp zonk,1,0
sering banget sich ya aplikasi tokped saya susah bgt masukny setiap lg promo wib lgsung dwech aplikasi gak bsa dpake sama sekali knapa coba...internet gangguan padahal sinyal hp penuh kuota jg cukup,2,0
Knpa pas masuk tokopedia jadi lemot jaringan pada kuota masih ada dan ketika mau nge vote idol kok gk bisa,2,0
Tolong admin kmrin saya order lampu tenaga surya dan sudah ditrasnfer uangnya ke rek BCA Tokopedia. Tapi sampai sekarang tidak ada proses apapun dari toko.,1,0
Belum di coba. Kok gak ada super carol?,1,0
Terpercaya,3,0
Seller-seller tolol katanya jual diamond ff tapi ga ada diamond nya Rip 1.000.000,1,0
"Aplikasinya eror dari 5 bulan yg lalu,buat buka pesan harus lewat chrome semuanya harus lewat chrome apa guna nya aplikasi kalo kaya begini",1,0
Ok bngt,3,0
"Mau donlod lagu kok jadi kesini dipindahkanya dan ga bisa di back ke lagu yg mau saya donlod,ga enak banget.",1,0
Hai kak. Saya mau verifikasi data tapi kenapa saat saya mau foto ktp aplikasi blank hitam tidak terlihat. Bagaimana bisa foto klu seperti ini padahal sdh diupdate. Mohon diperbaiki aplikasinya supaya saya bisa verifikasi data.,1,0
"Ga ngerti, transaksi gagal trs pake briva, top up ovo gagal juga. Payah",1,0
Gimnh sh,1,0
"Tolomg di perbaiki tidak bisa order, mau pilih kuris tidak bisa.. total riciannya gak bisa keluar",1,0
cob d kroscek kembali untuk pengiriman via gojek atw grab...klo bisa kasih saran..ukuran barang yg bisa di kirim via aplikasi tersebut ukuranny jangan terlalu besar paling gak 50 x 50 x 50...karena klo kebesaran jug dpt membahyakan driver...terima kasih🙏🙏save driver ojol,2,0
Kak sudah 7 hari sertifikat belum masuk dashboard juga,1,0
Noob,1,0
"Halahh segala ada verivikasi nya,kenapa harus ada verivikasi sih?,saya suruh Nerima kode lewat SMS ga bisa,trs lewat email ga bisa juga hadehhhh",1,0
"harus ada yg diperbaiki ,,,tapi apk nya sudah bgs kok",2,0
"Pada tgl 14 Saya beli sepeda lipat dengan harga 3jt, tapi pesanan saya di batalka oleh sistem sampe saat ini uang yg sudah saya bayar belum di kembalikan, dan saya udh laporan beberapa kali tapi blm ada jawaban yg memuaskan",1,0
Syang nga bisa cod,3,0
Saya sdah menyelesaikan pelatihan selama sebulan tapi kok sertifikat saya blum ada,1,0
Kenapa saldo toko hasil penjualan tokopedia saya ga muncul rincian transaksi nya?? Saya jadi ga tau rincian uang yang masuk di saldo tokopedia saya berapa aja.. 😤😤,2,0
Taiiii... Koneksi terputus silahkan cek jaringan seluler anda. Padahal sinyal full. Pake youtub lamcar pake ml jos. Buka tokopedia ngleg terus. Heran gua.,1,0
Kalo mau kasih hadiah......ga usah Pake kupon segaLa cuuuyuu..modussss,1,0
Ribet amat sih skrg tokopedia.. Alamatnya udah pake google maps tp msh aja dibilang salah. Mana sdh nentuin lokasinya manual lagi msh jg dibilang salah.. Ahhhh.. Rempong dehh maap sepertinya pen di uninstal lg.. Kabarin aja klo sdh diperbaiki.. Mau byk ptomo sana sini sm ongkir gratis tp kalo app nya ribet malah nyusahin sami mawoooon..,1,0
Pemula Di Tokopedia,3,0
lumayan llah,3,0
update baru kok malah tambah parah...peringatan masalah koneksi..padahal koneksi internet baik2 saja..,1,0
saya coba buka aplikasi toko pedia apa bener ini toko yg murah dn bebas ongkir,1,0
Kenapa si gabisa di dowlod makanya aku kasih bintang dua,2,0
Kenapa pas mau ganti metode pembayaran malah gak bisa,1,0
Karena saya belum tahu lengkap apa ngga,1,0
"Di update malah mengecewakan, tqk bisa share langsung barang yang di tuju...kecewaaa... 5 * jadi 3 * aja",3,0
"ini gimna ya, psanan saya blum di anter juga sama expedisi ny, udah sminggu",3,0
Tokopedia saya sudah membeli pelatihan tpi sertifikasi blm juga muncul d dashborad..mohon bantuanya🙏,1,0
Belanja di tokopedia gratis ongkir tanpa minimum pembelian kan,3,0
Kontol,1,0
Tolong lah kalo ga update jgn gabisa buka apk. Penginstallan apk saat sudah diupdate jg lamban. Dan suka keluar sendiri apk nya,3,0
Saya merasa kecewa dengan tokopedia. Dari pihak skillacademy sudah mengeluarkan sertifikat dan menyerahkan ke tokopedia. Tapi dari tokopedia belum menyerahkan ke prakerja... Dan saya sudah mengikuti prosedur yg ada. Saya sudah kasih rating dan juga ulasan. Tetap aja gak masuk sertifikatnya ke prakerja. Rasanya seperti di bohongi.,1,0
🤣🤣 💪 🤣 ?,1,0
G bisa diupdate..?,2,0
susah dengar ooo,1,0
