content,score,sentimen,content_clean
semoga lebih bnyak lagi promo dan cashback,3,0,moga promo cashback
Ribet mungkin sya mash baru...,1,0,ribet mash
tolong perbaiki sistem buat double voucher..,3,0,baik sistem double voucher
Ok,3,0,
"Pelayanan pedagang buruk , saya pesen barang pake jasa pengiriman 1 hari , eh dibaru di kirim 3 hari kemudian , padahal dari Jakarta pusat ke Jakarta barat , saya minta cancel pun ga di kasih",1,0,layan dagang buruk pesan barang pakai jasa kirim baru kirim jakarta pusat jakarta barat cancel kasih
"Sudah seminggu ini saya tidak bisa akses toped.Sistem loading terus menerus dgn tulisan : oops internet terputus,cek ulang koneksimu. Padahal sdh saya upgrade sampai dua kali,jaringan internet juga gak ada masalah karena ketika buka BL,Lazada maupun Shopee lancar lancar saja. Bagaimana solusinya ini TOPED ? Apakah ini ada hubunganya dgn 15 juta akun yg dibajak ?",1,0,minggu akses tokopedia sistem loading terus tulis internet putus cek ulang koneksi upgrade jaring internet buka lazada shopee lancar lancar solusi tokopedia hubunganya juta akun bajak
"Qu psen sejak sabtu Tpi sampe hri ini slasa, barang blom dikirim. Pesanan masih diproses. Penjualnya leled bgt",1,0,qu psen sabtu slasa barang kirim pesan proses jual leled banget
Ancurrrr berat bgt aplikasinya,1,0,ancurrrr berat banget aplikasi
Saya mau cairin saldo ko susah ya? Gimana ini?,1,0,cairin saldo susah gimana
2 kali membeli produk dalam bentuk top up. Selalu di kecewa kan,2,0,beli produk bentuk top up kecewa
Kenapa voucher cashback saya kok nggak masuk di ovo poin atau di saldo ya ? Padahal saat chekout saya cantumkan voucher cashback nyaa,2,0,voucher cashback masuk ovo poin saldo checkout cantum voucher cashback
Beli pelatihan ststus gagal tp saldo pelatihan terpotong 300rb gimana nih gw mau redeem paket biar cepet kelar pelatihany,1,0,beli latih ststus gagal saldo latih potong ribu gimana redeem paket biar cepat kelar pelatihany
Lumayan.... Lambat,3,0,lumayan lambat
"Akun toped sya gk bisa di buka ,,error error mulu ,,pdahal jaringan dah ok. tlg dong bnerin ..",1,0,akun tokopedia buka error error jaring bnerin
Sudah buat pin tokped tapi tetap aja gak kedetek PINnya dan malah suruh buat terus.,2,0,pin tokopedia kedetek pin suruh
Apk taiiiiiiiiiikkkk penipu,2,0,aplikasi taiiiiiiiiiikkkk tipu
Saya Zee DX tx tree d e d gy rAyr see x TT TT e sebagai d,3,0,zee dx tx tree gy rayr see
Parah lah pengirimanya.....masa pesan 2barang di 1 toko padahal beda hitungan menit doang kirimanya malahan beda 1 hari,1,0,parah kirim pesan barang toko beda hitung menit doang kirimanya beda
"Aplikasinya payah, sudah ada tulisan batal otomatis tapi tetap saja tdk terlaksana.",1,0,aplikasi payah tulis batal otomatis laksana
Good,3,0,good
kasih bintang 2 dulu.. Knp saya sudah slesai mengikuti pelatihan di skill akademy dan sdh mendapatkan sertifikat tgl 23 agustus 2020 tpi blm muncul di dashboard prakerja. saya beli kelas pelatihannya melalui Tokopedia lho.,2,0,kasih bintang selesai ikut latih skill akademi sertifikat tanggal agustus muncul dashboard prakerja beli kelas latih tokopedia
Aplikasinya sih oke...yg ga oke itu seller nya pemesanan dr tgl 15 br dikirimkan 3hr kemudian...sdh dibatalin masih diproses sellernya...,2,0,aplikasi oke oke seller mesan tanggal br kirim batal proses sellernya
"ada bug di bagian keranjang. Untuk admin : saat pencarian produk, barang dengan toko yang tidak aktif lebih dari 30 hari masih muncul. Tolong kalau toko yang tidak aktif setidaknya lebih dari 2 minggu jangan ditampilkan dong... Menghabiskan kuota dan sangat tidak penting melihat barang yang tokonya tidak aktif",2,0,bug keranjang admin cari produk barang toko aktif muncul toko aktif minggu tampil habis kuota barang toko aktif
"Gimana caranya isi saldo/cara isi ovo soalnya punya saya masih kosong,makasih",3,0,gimana isi saldo isi ovo kosong terima kasih
Coba dulu downloadnya lama,3,0,coba downloadnya
Sangatt burukk playananan.y,1,0,burukk playananan
knpa kredivo ga bisa di klik bgian ftonya..padahal dah app terbaruknpa ya saya mengajukan kredivo dah 2 kali di tolak melulu..padahal semua dah saya isi sesuai persyaratan.alasannya foto KTP sama foto saya kurang jlas..trus harus foto yg gmna lgi...???bingung,3,0,kredivo klik bgian ftonya aplikasi terbaruknpa aju kredivo tolak melulu isi sesuai syarat alas foto ktp foto jlas foto bingung
"Saya mau cek progress pesanan saya sudah sampai mana. Saya juga mau chat si admin yang jual barang tersebut. Tapi kenapa tulisannya selalu ""maaf terjadi kesalahan silahkan coba lagi beberapa saat""? Ini udh seminggu kyk gini, udh ganti paket data, wifi, jg gabisa. Solusinya gmn ya?",2,0,cek progress pesan chat admin jual barang tulis maaf salah silah coba minggu ganti paket data wifi solusi
Udah 99% eh ga bisa ke download diulang sampe 5 kali. Hp gw ga bermasalah ha,1,0,download ulang hp masalah ha
app saya suka bagus juga pelayanan nyaman cuman ada kesalahan yg paling besar yg bikin saya uninstall nih app yaitu iklan yg memaksa sama Kya brand sebelah L*z*a Makanya saya uninstall app sekelas tokped iklan nya berasa Kya spam situs GK layak,1,0,aplikasi suka bagus layan nyaman salah uninstall aplikasi iklan paksa brand belah uninstall aplikasi kelas tokopedia iklan asa spam situs layak
Dalam 1 minggu minta 2x upgrade aplikasi knp neh mulai ga byk peminatnya ya,1,0,minggu upgrade aplikasi neh minat
toko pancing pedia,2,0,toko pancing dia
Iya tah ??,3,0,tah
Aplikasinya bagus sayangnya sering force to close,3,0,aplikasi bagus sayang force close
Di suruh log out dan log in berkali-kali,3,0,suruh log out log kali
Monyet,1,0,monyet
"Sangat kecewa online shopp yg tidak memuaskan,baru pertama belanja aja sudah salah kirim barang, , pokoknya kecewa banget.",1,0,kecewa online shopp muas belanja salah kirim barang pokok kecewa banget
Bru cri tay carax,2,0,cri tay carax
"Saya melakukan pembelian top up saldo ovo dengan jlh yg besar sebanyak 2 kali, dan pembayaran dilakukan menggunakan via alfamidi. Ke-2 transaksi oleh pihak alfamidinya berhasil dan ada struknya, transaksi yg pertama masuk ke dlm nomor akun ovo yg saya isi tapi transaksi yg keduanya gagal dlm aplikasi tokopedianya. Saya sudah buat laporan diaplikasi tokopedianya juga, dan laporannya dana saya sudah dikembalikan. Tapi sampai skrg saya blm menerima dana apapun.",1,0,beli top up saldo ovo jlh bayar via alfamidi transaksi alfamidinya hasil struknya transaksi masuk nomor akun ovo isi transaksi gagal aplikasi tokopedianya lapor aplikasi tokopedianya lapor dana kembali terima dana apa
Mau komplain susah bingit... error cobalagi 50x....maksudnya bagaimana tkp.me/report,1,0,komplain susah bingit error cobalagi maksud tkp report
:(😊😩😩😩😩🤭🤭👍👎👎,3,0,
"Sangat kecewa, sekarang tokped banyak aturan.. saya buat akun baru lagi trs order barang di toko lain sdh di trf langsung di batalkan, eh tiba2 ada notifikasi dugaan penipuan 🤦 ga ngerti lagi apa mksdnya 👎 jangan membuat kecewa nanti malah pada lari ke si orens 🙏",1,0,kecewa tokopedia atur akun order barang toko trf langsung batal notifikasi duga tipu erti mksdnya kecewa lari orens
Sy nggak suka dengan Tokopedia Lite - tolong cara hapusnya gimana krn tidak ada di list play store dan di pengaturan aplikasi ... Maaf akun sy dihack... Jangan beli yah,1,0,suka tokopedia lite hapus gimana list play store atur aplikasi maaf akun dihack beli
Astaga sekelas Tokopedia tidak bisa mengurus masalah gagal kasih ulasan dan rating di menu transaksi ? Pecat aja itu tim IT nya yang masih magang kah? Banyak yang kelaparan tuh gara2 bantuan insentif gak cair cair karena kalian yang menahan proses pencairan insentif kami hanya karena masalah gagal rating dan ulasan.. Aplikasi KW KW,1,0,astaga kelas tokopedia urus gagal kasih ulas rating menu transaksi pecat tim magang lapar gara bantu insentif cair cair tahan proses cair insentif gagal rating ulas aplikasi kw kw
"Fitur kurang, riwayat transaksi saya hilang tolong di bantu dimunculkan kembali.karna tidak ada cara untuk memunculkannya",3,0,fitur riwayat transaksi hilang bantu muncul muncul
"Ini gimana gak bisa beli flash sale, orang sudah update terbaru kok",1,0,gimana beli flash sale orang update baru
Bagus banget aplk nya,1,0,bagus banget aplk
Hadiah apa saya ga permah belanja ke tokopedia...orang melarat saya mah...tolong jangan ganggu lagi chating...terimaksih,1,0,hadiah mah belanja tokopedia orang melarat ganggu chating terima kasih
Bacod,1,0,bacod
Loh di apk jadi duit suruh download toko pedia kok gua gak dapat koin ajg lah,1,0,aplikasi duit suruh download tokopedia koin ajg
"Terimakasih,,semangat trs utk memperbaiki diri.,👍👍👍",2,0,terima kasih semangat baik
Sertifikat belum keluar juga mohon di percepat,1,0,sertifikat mohon cepat
"Gimana ni dari tanggal 29 sartifikat belom muncul2 di dashboard,sedang kan gelombang 5 udah keluar tanggal insentif bulanan nya.nyesel pokoknya ngambil di sni",1,0,gimana tanggal sartifikat muncul dashboard gelombang tanggal insentif bulan sesal pokok ambil
Pelayanannya jelek.. Kcewa aku,1,0,layan jelek kecewa
Mohon adakan lagi kak admin cara cod di adakan lagi di menu saya buat cod tidak bisa di liat server anda,2,0,mohon adakan admin cod adakan menu cod lihat server
"Kok saya gak bisa buka notifikasi, pesan, dan melacak barang ya? Tolong diperbaiki segera karna ada barang pesanan saya yang belum datang sampe sekarang.",1,0,buka notifikasi pesan lacak barang baik barang pesan
Aplikasi yang ga mau bantu konsumen nya. Mau minta bantuan balikin akun gue malah ga di bantuin.,1,0,aplikasi bantu konsumen bantu balik akun bantuin
"Sekarang mau cari yg untuk diskusi aja susah.. yg awalnya ditaroh di dkt gambar barang yg dijual, sekarang malah ditaroh di baaaawaaah jauh",3,0,cari diskusi susah ditaroh dkt gambar barang jual ditaroh baaaawaaah
Bangsat klo kasi iklan di Google tau diri dong jgn yg spam sampe link buat download film ke ganti ama iklan lo bangsat,1,0,bangsat kasih iklan google spam link download film ganti iklan bangsat
"Updet udah 3x masih minta updet juga,,,, Mau berpa kali updet?",3,0,update update berpa update
Good appl,1,0,good appl
"Kalo kalian berani bergabung dgn tender besar sprti PRAKERJA seharusnya kalian sudah siap dengan sumber daya pekerja dan sistem anda, jgn hanya memikirkan proyek miliaran tapi sistem kalian berantakan.. kalian memaksa kami untuk kasih rating dan ulasan tapi pelayanan ANCCUUURR,, contoh tuh BUKALAPAK.. tanpa mengemis rating & ulasan tapi pelayanan memuaskan.",1,0,berani gabung tender sprti prakerja sumber daya kerja sistem pikir proyek miliar sistem beranta paksa kasih rating ulas layan anccuuurr contoh bukalapak emis rating ulas layan muas
Parah banget tokopedia saya beli kelas sekolah desain adobe ilustrator dari bulan agustus tgl 20 dan. Dapet sertifikat sekitar tgl 25 kurang lebih sampe sekarang pun gak muncul muncul di dashbor prakerja kalian kerja gak sih? Mau kasih ulasan di aplikasi setelah pembelian slalu gagal kasih ulasan di kelas nya pun udah tapi ttep aja gak ada saya nyesel beli kelas di tokopedia sumpah,1,0,parah banget tokopedia beli kelas sekolah desain adobe ilustrator agustus tanggal sertifikat tanggal muncul muncul dashbor prakerja kerja kasih ulas aplikasi beli gagal kasih ulas kelas sesal beli kelas tokopedia sumpah
Tulisan nya bebas ongkir minimal belanja sekian. Di lanjutin malah milih harga ongkir nya,1,0,tulis bebas ongkir minimal belanja sekian lanjutin pilih harga ongkir
Sudah susah ganti alamat.. Sekarang mau bayar harus gunakan ovo.. Tambah ke sini tambah sulit aja pakai aplikasi tokopedia..😪😪😪,3,0,susah ganti alamat bayar ovo sulit pakai aplikasi tokopedia
Ok,3,0,
"Wkwkwk ngakak bet gua gua salah beli hp niat mau tuker tambah masa hp gua yg baru pake 3 hari dihargain 2,3 wkwkwk sedangkan gua beli baru 4,9 ampun dah bang jago!!!",2,0,ngakak bet salah beli hp niat tukar hp pakai dihargain beli ampun jago
Apakah di toko pedia bisa cod,1,0,tokopedia cod
"We e wwxs, ssw,,,, ,,,,,,, x,,, w, xw,, we w2w ww, w xxxxx, we, c",2,0,wwxs ssw xw ww xxxxx
Ini sertifikad prakerja saya kok bluk tampil d dasborard prakerja sejak tanggal 23 agustus knp ? Tolong dicek gan,1,0,sertifikad prakerja bluk tampil dasborard prakerja tanggal agustus cek
Mengecewakan,1,0,kecewa
Makin lemot nee tokopedia,3,0,lot nee tokopedia
Oke,3,0,oke
Tokopedia kenapa data ku bocor di kamu !!!!,2,0,tokopedia data bocor
ngiklan mulu malah bikin kesel,1,0,iklan kesal
Jjik aku negok nya katanya cumn seribu pas di pesan barang 60 ribu ppk,1,0,jjik negok cumn ribu pas pesan barang ribu ppk
Pelayanan lelet.. Ongkir mahal,1,0,layan lelet ongkir mahal
Bonus alamat palsu..,2,0,bonus alamat palsu
Mau download lg malah yg muncul tokopedia terus sumpah emosi gua anjing,1,0,download muncul tokopedia sumpah emosi anjing
"Kacaaaaau kacaaau , dari tnggal 21 gua udh dapet sertifikat Prakerja tapi ga di keluar keluarin sama tokpet , bobrok bangat dah",1,0,kacaaaaau kacaaau tnggal sertifikat prakerja keluar tokopedia bobrok banget
Cukup bagus dan produknya okay juga,3,0,bagus produk oke
"sy kurangi bintang nya karna ada pesanan saya dari tgl 15 maret sampai sekarang belum nyampai,setatus pesanan sudah tiba tpi sy blm trima barang nya udh sy komplain masih aja blm ada kejelasan,kl pesanan sy sudah beres baru sy fulin lagi bintang nya trimakasih",2,0,kurang bintang pesan tanggal maret setatus pesan terima barang komplain jelas pesan beres fulin bintang terima kasih
Llkm. L,3,0,llkm
Kok saya beli paketan blom terkirim udh 2hari Belum ada respon nya nih,2,0,beli paket kirim respon
Jelek,1,0,jelek
"Tokopedia sangat buruk kualitasny,toko sy berapa kali mendptkn pembatalan sistem otomatis di transaksi sy,tanpa memberikan keterangan apapun kpd toko sy,sy sangat kecewa dg pihak Tokopedia.",1,0,tokopedia buruk kualitasny toko mendptkn batal sistem otomatis transaksi terang apa toko kecewa tokopedia
Mintak tolong dong di perbaiki lagi. Masak beli diamond Free Fire aja ada ongkirnya. Iya kalo barang masih wajar lah ada ongkir. Kan top up diamond bukan barang. Kalo udah di perbaiki saya kasih bintang 5.,1,0,baik masak beli diamond free fire ongkirnya barang wajar ongkir top up diamond barang baik kasih bintang
Ini tokopedia tulul ah! Tarik saldo lelet! Asw bangsat.... Lagi butuh juga anjing,1,0,tokopedia tulul tarik saldo lelet asw bangsat butuh anjing
Kk aktifkan akun atas nama Susan susan,3,0,aktif akun nama sus sus
Belanja .. setelah chekout menunggu 2 jam untuk di priksa ..,1,0,belanja checkout tunggu jam priksa
AKU PINDAH SHOPEE AJA,1,0,pindah shopee
ada orang kena tipu via tokopedia.. pihak tokopedia tidak merespon.. itu duit .. aplikasi gak guna,1,0,orang kena tipu via tokopedia tokopedia merespon duit aplikasi
Jelek,1,0,jelek
Jasa pengiriman ongkir gratis nya tidak bisa di pilih sendiri jadi males untuk belanja karna jasa pengiriman yang sudah di tentukan selalu lama nyampe nya,2,0,jasa kirim ongkir gratis pilih malas belanja jasa kirim tentu
free ongkir msh tersisa 2x tp tdk bs digunakan,2,0,free ongkir sisa
Coba dulu kalau bgus pelayanan lanjut,3,0,coba bagus layan
"Tolong update lagi,,dan tolong aktifkan notifikasi suara ketika ada chat masuk dan orderan masuk di tokopedia seller,,,,lama"" kacau tokopedia,,mending pindah ke toko lain",1,0,update aktif notifikasi suara chat masuk order masuk tokopedia seller kacau tokopedia mending pindah toko
"Belanja tgl 8,pilih pengiriman tertera estimasi waktu tgl 9-10 sampai. Lha di batal otomatis sampe 3 hari. Kalo di hitung batal otomatis, ya sampe tgl 11, ini gimana, ngga singkron antara pengiriman sama batal dr tokopedia?kalo begitu ya seperti sy belanja, dr tgl 8 sampe mau 10 brg cuma di proses ngga di kirim kirim. Mau cancel di tolak, ngga cancel, ntr sampe waktu batal mau habis baru di kirim. Klo begitu ya nambah waktu lg di pengiriman, jakarta bekasi aja bisa seminggu. Payah. Kapok.",1,0,belanja tanggal pilih kirim tera estimasi tanggal lha batal otomatis hitung batal otomatis tanggal gimana singkron kirim batal tokopedia belanja tanggal barang proses kirim kirim cancel tolak cancel ntr batal habis kirim kirim jakarta bekas minggu payah kapok
Kelamaan,1,0,
"bangggkeeee jadi puyeng , gmna caranya konfirmasi pesanan telah tiba",1,0,bangggkeeee puyeng konfirmasi pesan
saya kasih bintang 3 dulu ya.kalo barang'a udah sape tar saya kasih,3,0,kasih bintang barang sape kasih
"Fix, hanya 1 % penjual yang benar-benar jujur , atau mungkin 0% . Konsumen bego ya rugi sendiri . #allOnlineShop",1,0,fix jual jujur konsumen bego rugi allonlineshop
Saya mengajukan helm yg 79 rb nya kirim saya butuh.ke .aa 4 no 20 bumi harapan cibiru hilir cileunyi bdg ..,1,0,aju helm ribu kirim butuh bumi harap cibiru hilir cileunyi bdg
"lama lama gw unistal juga nih, suruh update aplikasi mulu notifnya.. gw cek malah ga ada update. notif nya sampah begini.",1,0,uninstall suruh update aplikasi notifnya cek update notifikasi sampah
Ksh 3 dulu soalnya baru pertama kali pake tokopedia jd belum tau kualitasnya,3,0,kasih pakai tokopedia kualitas
"Gajelas apknya, dikasih voucer 77rb, bisa dipake dan aman2 aja sebelum bayar, tapi pas udah bayar, tba2 dbilang gak sesuai syaratnya. Padahal pas sebelum click voucer, syaratnya cuma untuk pengguna baru. Asli, mending pake apk sebelah aja dehh",1,0,aplikasi kasih voucher ribu pakai aman bayar pas bayar tba dbilang sesuai syarat pas click voucher syarat guna asli mending pakai aplikasi belah
"ngomongnya cintai produk sendiri, tp artis ny produk luar gmn sieh, dih percuma pake pake bts segala klo emg apk nya burik, tingkatin dulu noh apk ny, baru bisa bangga di iklanin ama bts, NAJIS GW LIATNYA",1,0,ngomongnya cinta produk artis produk sieh dih pakai pakai bts aplikasi burik tingkatin noh aplikasi bangga iklanin bts najis liat
Seetelah di update knp ga bisa di buka ya gan.?? Mohon bantuannya. Trimksh.,2,0,seetelah update buka mohon bantu trimksh
Bobi bobibobi,1,0,bobi bobibobi
"Update aja terus tapi gak ada peruban, tapi malah di persulit. Setiap buka ni aplikasi loading terus, mau liat barang loading terus apalagi mau nambah barang di toko loadingnya lama banget sampe sampe barang yang di tambahkan gak ada di toko padahal dah di tambahin 3x coba ttp aja gak muncul barang baru padahal jaringan sangat baik dan stabil.",1,0,update uban sulit buka aplikasi loading lihat barang loading barang toko loadingnya banget barang tambah toko tambah coba muncul barang jaring stabil
pengalaman pertama saya pesan di tokopedia langsung kapok kurir nya galak ga bisa di kompail lagi kurir nya di tokopedia paraaaaahhhh🥴,2,0,alam pesan tokopedia langsung kapok kurir galak kompail kurir tokopedia paraaaaahhhh
"Saldo penghasilan gw gak bisa ditransfer ke ovo kan bangke, duit2 gw malah di bikin ribet, mending shopee narik saldo dimana2 bisa.",1,0,saldo hasil transfer ovo bangke duit ribet mending shopee tarik saldo
Tes dlu,3,0,tes
Kacau eror terus....,1,0,kacau error
Mudah belanja dan membantu untuk waktu kita sat sibuk tetep bisa membeli apa yg kita butuhkan di tokopdia kumplit kebutuhan kita,3,0,mudah belanja bantu sat sibuk beli butuh tokopdia kumplit butuh
"bagaimana cara mengaktifkan akun saya yg lama, sedangkan no saya sudah aktif?",1,0,aktif akun aktif
Kenapa selalu putus koneksi padahal sudah ada internet yang stabil,2,0,putus koneksi internet stabil
"Aplikasi ini memang bagus sih,tapi saya kurang suka aplikasi ini karena tidak ada penjualan non fisik,jadi tolong untuk pihak tokopedia,tambahkan fitur jualan non fisik",3,0,aplikasi bagus suka aplikasi jual fisik tokopedia tambah fitur jual fisik
Bagus & lengkap informasinyaxfZd*__*_,3,0,bagus lengkap informasinyaxfzd
Kata pihak skill academi sudah diserahkan sertifikatnya ke pihak tokped Eh malah ngga keluar keluar di dashboard Selesai13 november sampe sekarang blm muncul Bisa bantu ngga please,3,0,skill akademi serah sertifikat tokopedia dashboard selesai november muncul bantu plis
"Admin, kenapa akun tokopedia saya gak bisa login ke semula lagi.. daftar baru udah gak bisa aktifasi OVO, aplikasi yang lucu...",1,0,admin akun tokopedia login daftar aktifasi ovo aplikasi lucu
Data Saya Terdeteksi Bocor Pada Aplikasi Tokopedia... Kalo Gini Jadi Males Belanja,1,0,data deteksi bocor aplikasi tokopedia malas belanja
Di dowloand lemot,1,0,dowloand lot
ua,1,0,ua
Kalo bener 400ribu bisa di ambil tunai apa terasper kita kasi bitang lagi,1,0,ribu ambil tunai terasper kasih bitang
"Tokopedia gimana sih,cashback saya 30.000 gak masuk,katanya ada kesamaan akun,akun yg mana woy,aku tuh cuma punya 1 akun",2,0,tokopedia gimana cashback masuk sama akun akun akun
"Saya kecewa pada pembayaran nya kok gak ada metode pembayaran dana tolong kepada pihak tokopedia utuk menambahkan metode pembayaran dana nya, makasih🙏🙏🙏🙏",1,0,kecewa bayar metode bayar dana tokopedia utuk metode bayar dana terima kasih
dusta wkwkwk,2,0,dusta
Mantap apl ya,3,0,mantap aplikasi
"Verifikasi wajah gagal terus. Ada gamgguan dirumah toped, kalau berhaasil gw naikin bintangya",2,0,verifikasi wajah gagal gamgguan rumah tokopedia berhaasil naik bintangya
Suka,3,0,suka
Hapuskan saja kurir anterin itu woy terlalu lama kirimannya Tidak gerak sama sekali udah 2hari Itu kurir kirim barang apa tukang molor sih kok lama banget,1,0,hapus kurir antar kirim gerak kurir kirim barang tukang molor banget
Tes dulu,3,0,tes
Ka knpa aplikasi terus berhenti aja ya,3,0,aplikasi henti
Admin toped mhn tlg di cek utk pembelian sy tgl 15agustus dgn no resi AF d AE 085803--- kok baru satu yg nyampai.yg satunya kmn yaa..,2,0,admin tokopedia mohon cek beli tanggal agustus resi af ae satu kmn
Coba bintang 3 dulu..klo bagus sya tambahin..ok,3,0,coba bintang bagus tambah
"Jelek, penggunaan kupon tidak jelas dan penabungan emas tidak bisa di batalkan dan mengakibatkan pengurangan saldo tolong tambahkan fitur pembatalan saldo emas!",1,0,jelek guna kupon tabung emas batal akibat kurang saldo tambah fitur batal saldo emas
Di coba dulu,3,0,coba
Kenapa lama sekali turun nya sertifikat ke dashboard kita butuh ini min....,1,0,turun sertifikat dashboard butuh
pelayanan bagus,3,0,layan bagus
Saya tertarik dengn mesin tambal ban tungku strom,3,0,tarik dengn mesin tambal ban tungku strom
good,3,0,good
Belum pengalam,2,0,alam
Lelet,1,0,lelet
los cuma slss,1,0,los slss
pusat bantuannya kyknya ga sekolah attitude..ga bisa menyelesaikan keluhan pelanggan dgn beretika pelanggan adalah raja,1,0,pusat bantu kyknya sekolah attitude selesai keluh langgan etika langgan raja
Ok,3,0,
Data kita semua bocor woyy,1,0,data bocor woyy
"Update mulu kalo gak di update gak bisa di pake , gak kayak si oren update gak update tetep bisa di pake, lain kali di pertimbangkan dulu kalo update",2,0,update update pakai oren update update pakai timbang update
"malesin nih aplikasi gk kaya toko sebelah, saya mau belanja pake akun sendiri dengan alamat mungkin keluarga saya sama suka belanja juga, tapi gk bisa pake vocer gratis ongkir belanja pertama.. di sangkanya penyalah gunaan vocer haha, padahal mungkin sekeluarga pada suka belanja bukan penyalah gunaan!!! auto hapus nih aplikasi males pakenya haha",1,0,malesin aplikasi kaya toko belah belanja pakai akun alamat keluarga suka belanja pakai voucher gratis ongkir belanja sangka salah guna voucher keluarga suka belanja salah guna auto hapus aplikasi malas pakenya
"G ada info utk pesanan barang, awalnya dulu bisa dicek sekarang g bisa dicek lg...",2,0,info pesan barang cek cek
saya ngasih bintang 1 dulu. sertifikat saya dari tgl 21 agustus belum jg masuk didashboard. alasannya blum ngasih rating. padahal udah. sangih rating ulang ngak bisa. di imel di tweet ngak da hasil. ampun. buat kalian yang ingin ambil ditokped fikirlah dlu. skill academy pas belum masuk di tokped. lancar,1,0,bintang sertifikat tanggal agustus masuk dashboard alas rating sangih rating ulang imel tweet hasil ampun ambil tokopedia fikirlah skill academy pas masuk tokopedia lancar
Kadang2 barang yg dibeli tdk ok,3,0,kadang barang beli
Barang Sering Tidak nyampe,1,0,barang
Asyik,1,0,asyik
"Hp saya Versi android 4.4.2 Versi kernel 3.4.0, buka aplikasi tokopedia oops internet trputus mulu susah masuk, harus uinstal dulu baru bisa lama kemudian oops internet trputus lg, gimana saya mau blanja dong, kalu harus uinstal mulu boros kuota repot lg",2,0,hp versi android versi kernel buka aplikasi tokopedia internet trputus susah masuk uinstal internet trputus gimana belanja uinstal boros kuota repot
Aku mau nanya bagaimana cara menstranfer uang kalo gk ada rekening bingung tau,1,0,menstranfer uang rekening bingung
benci guwe 😝 dan saya kecewa sekali 😡😠😬 saya beli barang ditokopedia barang ya nga sesuai penipu huuu,1,0,benci guwe kecewa beli barang tokopedia barang sesuai tipu huuu
